Dachshund - Longhaired,Hip and Joint,,,,Hip and Joint,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Miniature Longhaired,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Miniature Shorthaired,,,,,,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Miniature Wirehaired,,,,,,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Rabbit Longhaired,Hip and Joint,Inflammation,Metabolism,,Hip and Joint,Inflammation,Eye Health,Metabolism,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Rabbit Shorthaired,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Rabbit Wirehaired,,,,,,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Shorthaired,,,,,,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Standard Longhaired,Metabolism,,,,Metabolism,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Standard Wirehaired,,,,,,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dachshund - Wirehaired,,,,,,,,,acanthosis nigricans,intervertebral disk disease,cataracts,cleft lip
Dalmatian,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,Deafness,Urolithiasis,Atopy,Cataracts
Dandie Dinmont Terrier,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,Glaucoma,Hyperadrenocoricism,,tervertebral disk disease
Danish-Swedish Farmdog,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,,,
Deerhound,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,,,
Deutsch Drahthaar - German Wirehaired Pointer,Hip and Joint,,,,Hip and Joint,,,,,,,
Deutsch Kurzhaar - German Shorthaired Pointer,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
Dingo,,,,,,,,,,,,
Dobermann,,,,,,,,,Dilated Cardiomyopahty,Cervical vertebral instablity,intervertebral disk disease,von Willebrand
Dogo Argentino,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Dogo Canario,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Dogue de Bordeaux,,,,,,,,,,,,
Drever,,,,,,,,,,,,
Dutch Shepherd Dog,Metabolism,,,,Metabolism,,,,,,,
Dutch Shepherd Dog - Longhaired,,,,,,,,,,,,
Dutch Shepherd Dog - Rough-haired,,,,,,,,,,,,
Dutch Shepherd Dog - Shorthaired,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,,,,
East-Siberian Laika,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
English Bulldog,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,brachycephalic syndrome,hip dysplasia,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Pulmonic stenosis
English Cocker Spaniel,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,,,
English Foxhound,Hip and Joint,,,,Hip and Joint,,,,Leukodystrophies,,,
English Pointer,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
English Setter,,,,,,,,,Deafness,Hip dysplasia,Atopy,Ectropion
English Springer Spaniel,,,,,,,,,Hip dysplasia,Phosphofructokinase (PFK) deficiency,Retinal dysplasia,seborrhea
English Toy Terrier,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,Cataracts,Retinal dysplasia,Entropion,Cleft lip/palate
Entlebucher Mountain Dog,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Estonian Hound,,,,,,,,,,,,
Eurasier,,,,,,,,,,,,
Field Spaniel,Metabolism,,,,Metabolism,,,,Hip dysplasia,Retinal dysplasia,Cataracts,Progressive retinal atrophy
Finnish Hound,,,,,,,,,,,,
Finnish Lapphund,,,,,,,,,,,,
Finnish Spitz,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,Diabetes mellitus,Hip dysplasia,Shaker dog syndrome,"Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia)"
Flat Coated Retriever,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,Cataracts,Hip dysplasia,Histiocytosis,Entropion
Fox Terrier - Smooth,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Cataracts,Cervical vertebral instability (Wobbler syndrome),Glaucoma,Lens luxation
Fox Terrier - Wire,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Atopy,Cataracts,Cervical vertebral instability (Wobbler syndrome),Glaucoma
French Bulldog,Hip and Joint,,,,Hip and Joint,,,,brachycephalic syndrome,Cleft lip/palate,Entropion,Hemivertebra
German Hunting Terrier,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
German Pinscher,,,,,,,,,,,,
German Shepherd Dog,,,,,,,,,Degenerative myelopathy,Exocrine pancreatic insufficiency,Hemophilia,Hip dysplasia
German Shepherd Dog - Longhaired,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,Degenerative myelopathy,Exocrine pancreatic insufficiency,Hemophilia,Hip dysplasia
German Spaniel,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
German Shorthaired Pointer,,,,,,,,,Hip dysplasia,acral mutilation syndrome,Subaortic stenosis,Cataracts
German Spitz,,,,,,,,,,,,
German Spitz - Medium size Spitz - Black and brown,Metabolism,,,,Metabolism,,,,,,,
German Spitz - Medium size Spitz - Other colours,,,,,,,,,,,,
German Spitz - Miniature Spitz - Black and brown,,,,,,,,,,,,
German Spitz - Miniature Spitz - Other colours,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,,,,
German Spitz - Miniature Spitz - White,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
German Wirehaired Pointer,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Hip dysplasia,Entropion,Cataracts,von Willebrand's disease
Giant Schnauzer,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,,,
Giant Schnauzer - Black,Hip and Joint,,,,Hip and Joint,,,,,,,
Giant Schnauzer - Pepper and salt,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
Golden Retriever,,,,,,,,,Elbow dysplasia - OCD of the elbow,Hip dysplasia,Retinal dysplasia,Subaortic stenosis
Gordon Setter,,,,,,,,,Hip dysplasia,Cataracts,Cerebellar abiotrophy(ataxia),Follicular dysplasias
Grand Basset Griffon Vendeen,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Gray Wolf,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Great Dane,,,,,,,,,Dilated cardiomyopathy,Cervical vertebral instability (Wobbler syndrome),Gastric dilatation-volvulus,Hip dysplasia
Great Dane - Black and harlequin,,,,,,,,,Dilated cardiomyopathy,Cervical vertebral instability (Wobbler syndrome),Gastric dilatation-volvulus,Hip dysplasia
Great Dane - Blue,Metabolism,,,,Metabolism,,,,Dilated cardiomyopathy,Cervical vertebral instability (Wobbler syndrome),Gastric dilatation-volvulus,Hip dysplasia
Great Dane - Fawn and brindle,,,,,,,,,Dilated cardiomyopathy,Cervical vertebral instability (Wobbler syndrome),Gastric dilatation-volvulus,Hip dysplasia
Great Pyrenees,,,,,,,,,Hip dysplasia,Cervical vertebral instability (Wobbler syndrome),Coagulation (bleeding) disorders,Deafness
Greater Swiss Mountain Dog,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,Hip dysplasia,Elbow dysplasia - OCD of the elbow,,
Greyhound,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,familial vasculopathy,Cutaneous asthenia (Ehlers-Danlos syndrome),Deafness,Hemophilia
Griffon Belge,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,,,
Griffon Bruxellois,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,,,
Harrier,Hip and Joint,,,,Hip and Joint,,,,Cerebellar abiotrophy(ataxia),Idiopathic epilepsy,,
Havanese,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,Cataracts,Progressive retinal atrophy,Retinal dysplasia,
Hokkaido,,,,,,,,,,,,
Hovawart,,,,,,,,,,,,
Hungarian Greyhound,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Hungarian Short-Haired Pointer (Vizsla) ,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Hungarian Wire-Haired Pointer (Vizsla),,,,,,,,,,,,
Ibizan Hound,,,,,,,,,Deafness,Degenerative myelopathy,Cataracts,
Ibizan Hound - Smooth-haired,Metabolism,,,,Metabolism,,,,Deafness,Degenerative myelopathy,Cataracts,
Ibizan Hound - Wirehaired,,,,,,,,,Deafness,Degenerative myelopathy,Cataracts,
Icelandic Sheepdog,,,,,,,,,,,,
Irish Glen of Imaal Terrier,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,,,,
Irish Red and White Setter,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,Hip dysplasia,Progressive retinal atrophy,acral lick dermatitis (lick granuloma),Atopy
Irish Red Setter,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Hip dysplasia,Progressive retinal atrophy,acral lick dermatitis (lick granuloma),Atopy
Irish Soft Coated Wheaten Terrier,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,cutaneous asthenia,,
Irish Terrier,Hip and Joint,,,,Hip and Joint,,,,Urolithiasis (stones),X-linked muscular dystrophy,Progressive retinal atrophy,
Irish Water Spaniel,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,Hip dysplasia,Cataracts,Follicular dysplasias,Progressive retinal atrophy
Irish Wolfhound,,,,,,,,,Dilated cardiomyopathy,Hip dysplasia,Portosystemic shunt,Cataracts
Italian Greyhound,,,,,,,,,,,,
Jack Russell Terrier,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,,,,
Japanese Chin,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,Cataracts,Entropion,Entropion,Corneal dystrophy
Japanese Spitz,,,,,,,,,,,,
Karelian Bear Dog,,,,,,,,,Hip dysplasia,Pituitary dwarfism,,
Keeshond,Metabolism,,,,Metabolism,,,,Hip dysplasia,Diabetes mellitus,Growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,Idiopathic epilepsy
Kerry Blue Terrier,,,,,,,,,Patent ductus arteriosus (PDA),Cerebellar abiotrophy(ataxia),Coagulation (bleeding) disorders,Hip dysplasia
King Charles Spaniel or English Toy Spaniel,,,,,,,,,,,,
Kishu,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,,,,
Kleiner Münsterländer,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
Komondor,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,Hip dysplasia,Elbow dysplasia - OCD of the elbow,Gastric dilatation-volvulus,
Kooikerhondje,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,,,,
Koolie,Hip and Joint,,,,Hip and Joint,,,,,,,
Korea Jindo Dog,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,,,,
Kritikos Lagonikos,,,,,,,,,,,,
Kromfohrländer,,,,,,,,,,,,
Kuvasz,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip dysplasia,Dermatomyositis and ulcerative dermatosis,Cataracts,Deafness
Labrador Retriever,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,Elbow dysplasia - OCD of the elbow,Hip dysplasia,Retinal dysplasia,acral lick dermatitis (lick granuloma)
Lagotto Romagnolo - Romagna Water Dog,,,,,,,,,,,,
Lakeland Terrier,,,,,,,,,Legg-Calvé-Perthes disease,Cataracts,"Cryptorchidism, retained testicle",Microphthalmia; ocular dysgenesis
Lancashire Heeler,Metabolism,,,,Metabolism,,,,,,,
Landseer,,,,,,,,,,,,
Lapponian Herder,,,,,,,,,,,,
Large Münsterländer,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,Urolithiasis (stones),,,
Leonberger,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
Lhasa Apso,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,"Keratoconjunctivitis sicca (KCS) - ""dry eye""",Atopy,brachycephalic syndrome,Cataracts
Little Lion Dog or Löwchen,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Cataracts,Legg-Calvé-Perthes disease,Patellar luxation,Progressive retinal atrophy
Maltese,Hip and Joint,,,,Hip and Joint,,,,Patent ductus arteriosus (PDA),"Cryptorchidism, retained testicle",Hydrocephalus,Portosystemic shunt
Manchester Terrier,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,Eye Health,Eye Health,Hydrocephalus,Legg-Calvé-Perthes disease,Lens luxation,pattern baldness
Manchester Terrier - Toy,,,,,,,,,Hydrocephalus,Legg-Calvé-Perthes disease,Lens luxation,pattern baldness
Maremma and Abruzzes Sheepdog,,,,,,,,,,,,
Mastiff,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip and Joint,Inflammation,Eye Health,Metabolism,Hip dysplasia,Pulmonic stenosis,Cataracts,Ectropion
Mi-ki,Hip and Joint,Inflammation,,,Hip and Joint,Hip and Joint,Inflammation,,,,,
Miniature Bull Terrier,,,,,,,,,Lens luxation,Persistent pupillary membranes (PPM),,
Miniature Pinscher,,,,,,,,,colour dilution alopecia,Corneal dystrophy,Disorders of sexual development - sexual reversal,Legg-Calvé-Perthes disease
Miniature Schnauzer,Metabolism,,,,Metabolism,,,,,,,
Miniature Schnauzer - Black,,,,,,,,,,,,
Miniature Schnauzer - Black and silver,,,,,,,,,,,,
Miniature Schnauzer - Pepper and salt,Skin and Coat ,Immunity,Overall Wellness,,Skin and Coat ,Skin and Coat,Immunity,Overall Wellness,,,,
Miniature Schnauzer - White,Hip and Joint,Eye Health,,,Hip and Joint,Eye Health,,,,,,
Mudi,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,Eye Health,Eye Health,Skin and Coat Demdectic Mange,Hip and Joint,,,,
Neapolitan Mastiff,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip and Joint,Neurotransmitters Health,Eye Health,Thyroid Health,Hip dysplasia,Ectropion,Entropion,Fold dermatitis/pyoderma
